1.02226,0.116669,37.48937896887461,0.73541,0.16361,1
0.661565,0.197122,70.52172161738078,0.576551,0.215034,2
0.534644,0.241732,65.93832884629568,0.503419,0.24639,3
0.448495,0.279276,63.463577063878375,0.434166,0.282555,4
0.397762,0.304795,69.35997414986292,0.399451,0.306911,5
0.358956,0.333815,63.84076949755351,0.379467,0.320441,6
0.329186,0.360469,53.50847626924515,0.338407,0.350853,7
0.297133,0.397372,67.87424989938737,0.369088,0.343495,8
0.270192,0.424348,59.770567349592845,0.305495,0.389909,9
0.252949,0.454742,51.27285506725311,0.292204,0.415402,10
0.224824,0.500273,71.25360724925994,0.286746,0.43101,11
0.213845,0.530225,87.28797780275345,0.301237,0.427173,12
0.19263,0.578024,72.20333410104116,0.305025,0.424044,13
0.174871,0.61314,73.40201998154322,0.286505,0.468087,14
0.159286,0.65717,76.39251346985499,0.313723,0.446284,15
0.148221,0.682116,51.72903233369191,0.303816,0.448391,16,77.28358208955224
0.119285,0.740715,65.76502423286438,0.343313,0.44799,17,73.910447761194035
0.127246,0.732397,63.57471603155136,0.30983,0.481139,18,73.880597014925371
0.113719,0.756231,62.84762828350067,0.302902,0.472627,19,74.089552238805965
0.0933447,0.795251,49.758767513434094,0.338509,0.477352,20,76.194029850746276
0.102641,0.778094,56.510512979825336,0.321743,0.472849,21,75.0
0.0941338,0.796279,56.124394869804384,0.319655,0.48534,22,75.343283582089555
0.0766713,0.825774,51.43446223338445,0.33493,0.488847,23,75.955223880597018
0.0982435,0.786475,44.65947031577428,0.33888,0.474613,24,77.656716417910445
0.0882076,0.806798,54.201589147249855,0.333053,0.483578,25,75.895522388059703
0.0701568,0.838634,51.43359416723251,0.352807,0.488487,26,76.119402985074629
0.0685251,0.839748,57.149918750921884,0.360196,0.489575,27,75.552238805970148
0.0897812,0.797039,46.759918649991356,0.337492,0.48929,28,77.447761194029852
0.0640819,0.84634,47.900903264681496,0.365266,0.493242,29,77.417910447761187
0.0667824,0.841821,54.159414780139926,0.358555,0.492429,30,75.358208955223887
0.0840595,0.808409,54.7277814189593,0.339964,0.48948,31,75.507462686567166
0.0610945,0.853046,56.083413716157274,0.372962,0.492219,32,75.104477611940297
0.0589708,0.852775,43.90913441578547,0.365235,0.49345,33,77.656716417910445
0.0821102,0.812015,46.759114082654314,0.347704,0.491824,34,76.985074626865668
0.0576863,0.855634,50.79813530047735,0.376687,0.489399,35,74.895522388059703
0.0669476,0.842389,49.79284366766612,0.346912,0.481804,36,76.328358208955223
0.0632685,0.849013,58.71877201398214,0.359347,0.485758,37,73.895522388059703
0.0670091,0.839123,53.42438791592916,0.353877,0.481516,38,75.507462686567166
0.0561064,0.857426,51.799033252398175,0.376499,0.491976,39,76.02985074626865
